ID,name,max_elev,sp_elev,length,NO3,TON,NH4,SO4,Ca,Mg,logDOC,logCl,logH,logarea
2,Santa Cruz,1006,680,1680,24.2,5.6,0.8,50.6,54.7,14.4,2.256236533,1.190331698,-0.318758763,1.361727836
3,Colgatet,1216,628,3912,25.4,4.9,1.4,55.4,58.4,17,2.036628895,1.214843848,-0.619788758,2.664641976
4,Halsey,1204,625,4032,29.7,4.4,0.8,56.5,65.9,19.6,2.019946682,1.23299611,-0.327902142,2.472756449
5,Batavia Kill,1213,663,3072,22.1,6.1,1.4,57.5,59.5,19.5,1.926856709,1.225309282,-0.638272164,2.600972896
6,Windham Ridget,1074,616,2520,13.1,5.7,0.6,58.3,54.6,21.9,1.915927212,1.26245109,-0.431798276,2.315970345
7,Silver Springt,1113,451,3120,27.5,3,1.1,63,68.5,22.4,1.937517892,1.195899652,-0.769551079,2.541579244
8,Little Timbert,1027,463,2064,28.1,4.7,1.4,66.5,84.6,26.2,1.963315511,1.42975228,-0.853871964,2.252853031
9,Hunter,1234,634,4416,31.2,5.4,2.5,64.5,73.1,25.4,1.592176757,1.342422681,-0.853871964,2.702430536
10,West Kill,1234,658,3600,22.6,3.1,3.1,63.4,71.1,21.8,1.823474229,1.328379603,-0.795880017,2.737192643
11,Mill,1137,674,2856,35.9,4.9,1.4,58.4,91.2,22.2,1.773054693,1.474216264,-1,2.445604203
12,Kelly Hollow,1061,533,3960,35.9,2.9,0.6,70.6,94.4,28.5,1.710117365,1.264817823,-0.958607315,2.712649702
13,Piaeon,1173,619,4608,22.4,5.8,1.1,56.9,59.4,16,1.971739591,1.220108088,-0.568636236,2.848804701
14,Biscuit,1125,619,5616,22.2,4,0.8,56.7,46.7,17.5,1.921686475,1.220108088,-0.337242168,2.996511672
17,Fall,1018,530,7176,20.5,3.9,0.8,60.4,70,18.2,1.845718018,1.28780173,-0.657577319,3.101403351
18,Bear Hole,1171,363,6960,24.9,5.7,0.8,67.8,43.9,25,1.828659897,1.298853076,-0.301029996,2.905256049
19,Buttermilk Falls,1076,405,2856,33.1,6.2,1.4,70.8,53.3,26.3,2.018700499,1.31386722,-0.301029996,2.26245109
20,Rondout,1171,454,6456,23.4,3.8,1.1,58.6,35.6,19.6,1.786751422,1.33243846,0.123851641,3.22685757
21,Kanape,939,334,4704,10.2,5.9,2.2,59.5,60.3,30,1.604226053,1.40654018,-0.823908741,2.88422877
22,Woodland Val.,1277,425,5280,18.6,6.6,2.5,55.5,44.2,24.9,1.644438589,1.389166084,-0.455931956,3.139879086
23,Broadst. Hollow,1180,433,4752,19.5,6.8,3.3,63.4,78.4,27.7,1.850033258,1.350248018,-0.920818754,2.998259338
24,Pecoyt,1161,591,2904,28,4.5,1.9,57.8,56.1,15.5,1.92890769,1.421603927,-0.301029996,2.462397998
25,Predigert,1030,610,2688,21.5,3.9,3.1,55.1,40.8,13.8,1.92992956,1.311753861,0.056904851,2.096910013
26,Bear Pent,1076,497,2544,22.6,7.7,1.7,65.5,72.5,25.7,1.997823081,1.127104798,-0.920818754,2.320146286
28,Weavert,1021,786,960,17.2,6.7,1.4,62.7,50.3,22.2,1.820201459,1.113943352,-0.431798276,1.51851394
30,BWS6t,754,512,2016,3.8,5.7,1.9,72.1,73.4,30.1,1.710117365,1.271841607,-0.769551079,2.158362492
31,Halcottt,1039,555,1584,20.9,6.2,2.2,63.4,62,27.4,1.824776462,1.390935107,-0.769551079,2.029383778
32,Tonshit,762,293,2976,2.1,5.6,1.7,68.5,54.5,34.7,1.915927212,1.896526217,-0.958607315,2.426511261
33,Grog Killt,863,271,3384,3,7.1,2.2,65.8,82.8,31.7,1.770115295,1.803457116,-1.045757491,2.644438589
35,Hollow Tree,1137,457,3096,36.1,3.9,1.9,69.2,81.8,26.5,1.630427875,1.348304863,-1,2.691965103
36,Lost Clove,1091,460,3000,22.4,5.8,2.2,66.7,70.4,28.8,1.657055853,1.269512944,-0.795880017,2.615950052
37,Black,1137,683,4416,34.4,2.8,1.4,59.3,68.6,18.7,1.694605199,1.173186268,-0.886056648,2.575187845
38,Styles,1186,576,3840,31.8,5.5,0.8,61.1,69.4,22.5,1.920645001,1.250420002,-0.698970004,2.596597096
39,Warners,1173,418,8328,21.6,3.6,1.4,62.1,76.8,24.6,1.815577748,1.536558443,-1,3.263636069
40,Kittlet,957,567,1800,32.2,4.4,2.2,70.4,82.5,25.6,1.820857989,1.387389826,-0.795880017,1.799340549
41,Traver Hollow,887,311,3000,16.2,4.6,1.1,62.1,67.9,22.8,1.759667845,1.340444115,-0.886056648,2.781036939
42,Willowemoc,983,607,5472,19.8,3.2,1.4,64.6,75.5,16.5,1.630427875,1.214843848,-0.744727495,2.961421094
43,Myrtle,1219,475,4320,17.4,3.6,2.5,61.4,63.4,19.2,1.632457292,1.322219295,-0.853871964,2.677606953
44,Becker Hollow,1231,588,2664,26.9,4.7,2.5,56.9,58.6,18.2,1.746634199,1.320146286,-0.795880017,2.575187845
